dof,K,best_step,pos_mae_m,pos_rmse_m,ori_deg
5,1000,,0.008192815817892551,0.009357578121125698,1.1878472566604614
5,5000,,0.006974475458264351,0.007916012778878212,0.9822991490364075
5,10000,,0.00669985543936491,0.007617107592523098,0.9331497550010681
5,15000,,0.00659746490418911,0.007495899219065905,0.9062643051147461
5,20000,,0.006483861245214939,0.00736742140725255,0.8913933634757996
5,25000,,0.006486814469099045,0.007385618519037962,0.8767455816268921
5,30000,,0.006438631098717451,0.007353389635682106,0.8650436401367188
5,35000,,0.006360040511935949,0.00724825169891119,0.8495272397994995
5,40000,,0.006362598389387131,0.00726254191249609,0.8440335988998413
5,45000,,0.0063039218075573444,0.007201158907264471,0.8314871191978455
5,50000,,0.006233022548258305,0.007122785784304142,0.8160963654518127
5,55000,,0.006246126722544432,0.007121909875422716,0.8213006258010864
5,60000,,0.006292412057518959,0.007184954360127449,0.8138774633407593
6,1000,,0.010943860746920109,0.012470481917262077,1.7015557289123535
6,5000,,0.009542279876768589,0.010920269414782524,1.4584977626800537
6,10000,,0.009327605366706848,0.010685781016945839,1.4247084856033325
6,15000,,0.009151632897555828,0.010477541945874691,1.3970588445663452
6,20000,,0.009034940041601658,0.010337529703974724,1.3780955076217651
6,25000,,0.008995707146823406,0.01029342319816351,1.3699991703033447
6,30000,,0.008968320675194263,0.010263347066938877,1.3601367473602295
6,35000,,0.008920630440115929,0.010207059793174267,1.354475975036621
6,40000,,0.008912969380617142,0.010199516080319881,1.3455013036727905
6,45000,,0.008883550763130188,0.01016498077660799,1.3428598642349243
6,50000,,0.008865036070346832,0.010141193866729736,1.337369680404663
6,55000,,0.008850008249282837,0.010124370455741882,1.3350334167480469
6,60000,,0.008830124512314796,0.010100632905960083,1.3325062990188599
7,1000,,0.05648936703801155,0.07643000036478043,10.004589080810547
7,5000,,0.03188599273562431,0.04144105315208435,5.7939133644104
7,10000,,0.024569664150476456,0.031150775030255318,4.577432155609131
7,15000,,0.021751975640654564,0.02751300111413002,4.1030449867248535
7,20000,,0.020011605694890022,0.02484525553882122,3.7715964317321777
7,25000,,0.020055672153830528,0.024454327300190926,3.691857099533081
7,30000,,0.018187683075666428,0.02234646864235401,3.376312255859375
7,35000,,0.0179118774831295,0.021807005628943443,3.2810230255126953
7,40000,,0.01714280992746353,0.020832527428865433,3.1635451316833496
7,45000,,0.016872894018888474,0.0204403568059206,3.1019647121429443
7,50000,,0.017333567142486572,0.020849160850048065,3.151441812515259
7,55000,,0.016354093328118324,0.019736161455512047,2.993889093399048
7,60000,,0.0163942389190197,0.019670356065034866,2.985924482345581
7,80000,,0.015572220087051392,0.018541282042860985,2.8221142292022705
7,100000,,0.015621181577444077,0.018472284078598022,2.7968485355377197
7,120000,,0.015015335753560066,0.01770436391234398,2.675841808319092
