step,pos_mae_m,pos_rmse_m,ori_deg
0,0.07210097461938858,0.08443719148635864,9.44369125366211
10,0.07102745771408081,0.08329272270202637,9.299808502197266
25,0.06964106857776642,0.08181191235780716,9.122605323791504
50,0.06764949858188629,0.07967162132263184,8.88197135925293
100,0.06342364847660065,0.07509157061576843,8.372719764709473
200,0.0553983673453331,0.06628904491662979,7.421839237213135
500,0.03731139004230499,0.04545170068740845,5.415252685546875
1000,0.021543508395552635,0.025889674201607704,3.6750259399414062
2000,0.013148260302841663,0.015133241191506386,2.4277994632720947
100000,0.009946045465767384,0.011451671831309795,1.7115854024887085
