step,pos_mae_m,pos_rmse_m,ori_deg
0,0.02070220187306404,0.023101719096302986,2.698673725128174
2000,0.009791435673832893,0.011191155761480331,1.447988510131836
4000,0.00902590062469244,0.010334855876863003,1.3718600273132324
6000,0.008921454660594463,0.010211173444986343,1.3535890579223633
8000,0.008882439695298672,0.010163702070713043,1.3440908193588257
10000,0.008869394659996033,0.01014670729637146,1.338618278503418
12000,0.008865335956215858,0.010140636004507542,1.3349230289459229
14000,0.008866722695529461,0.010141952894628048,1.3325703144073486
16000,0.008870106190443039,0.010146679356694221,1.3304393291473389
18000,0.00887564942240715,0.010154484771192074,1.3293876647949219
20000,0.008881384506821632,0.010162891820073128,1.3306987285614014
22000,0.008887427859008312,0.010171999223530293,1.330055594444275
24000,0.00889204628765583,0.010179277509450912,1.3278107643127441
26000,0.008896265178918839,0.010186300612986088,1.3279117345809937
28000,0.00890112854540348,0.010194242000579834,1.3274099826812744
30000,0.008905068039894104,0.010201053693890572,1.3278546333312988
32000,0.008909394964575768,0.01020840834826231,1.326785922050476
34000,0.008912923745810986,0.010214806534349918,1.3274915218353271
36000,0.008916232734918594,0.010220509953796864,1.3275421857833862
38000,0.0089201545342803,0.010227343998849392,1.3281484842300415
40000,0.008923252113163471,0.010232934728264809,1.3288121223449707
42000,0.008926821872591972,0.010239330120384693,1.3277453184127808
44000,0.008929185569286346,0.010244235396385193,1.3289203643798828
46000,0.008931674063205719,0.010249361395835876,1.3290047645568848
48000,0.00893397442996502,0.010254014283418655,1.3291620016098022
50000,0.008936247788369656,0.010258698835968971,1.3300049304962158
52000,0.008938917890191078,0.010263534262776375,1.330586552619934
54000,0.008940214291214943,0.010266841389238834,1.3305556774139404
56000,0.008942480199038982,0.010271159932017326,1.3304139375686646
58000,0.008944245986640453,0.010274837724864483,1.3310716152191162
60000,0.00894625298678875,0.010278797708451748,1.331692099571228
62000,0.008947462774813175,0.010281842201948166,1.3321069478988647
64000,0.008949153125286102,0.010285306721925735,1.3327280282974243
66000,0.008950839750468731,0.010288702324032784,1.332303524017334
68000,0.008952287957072258,0.010291879065334797,1.333813190460205
70000,0.008953550830483437,0.010294921696186066,1.3341681957244873
72000,0.008954795077443123,0.010297859087586403,1.3349506855010986
74000,0.008956464938819408,0.010301272384822369,1.3350476026535034
76000,0.008957705460488796,0.010304269380867481,1.3357800245285034
78000,0.008958547376096249,0.010306572541594505,1.335760235786438
80000,0.008959893137216568,0.010309301316738129,1.336333990097046
82000,0.00896172970533371,0.010312940925359726,1.3369214534759521
84000,0.008962122723460197,0.010314622893929482,1.3368805646896362
86000,0.008963245898485184,0.010317297652363777,1.3374762535095215
88000,0.008964241482317448,0.010319669730961323,1.3373159170150757
90000,0.008966244757175446,0.010323382914066315,1.3373290300369263
92000,0.00896633043885231,0.01032470166683197,1.3379286527633667
94000,0.008967528119683266,0.010327176190912724,1.338442087173462
96000,0.008968440815806389,0.010329533368349075,1.3383197784423828
98000,0.008969882503151894,0.01033222209662199,1.3382775783538818
100000,0.00897064059972763,0.010334378108382225,1.3384630680084229
