step,pos_mae_m,pos_rmse_m,ori_deg
0,0.026553316041827202,0.028561977669596672,3.2172696590423584
2000,0.007023777347058058,0.007929451763629913,0.9212834239006042
4000,0.006389647256582975,0.007267991546541452,0.8522108197212219
6000,0.006343713495880365,0.007224157452583313,0.8386706113815308
8000,0.006308284122496843,0.007194944191724062,0.8286473155021667
10000,0.006275919731706381,0.007169079035520554,0.8205575942993164
12000,0.006362608168274164,0.007295686285942793,0.8289581537246704
14000,0.006307038012892008,0.007234118413180113,0.8224596381187439
16000,0.0062725730240345,0.00720221409574151,0.8195462226867676
18000,0.006477989722043276,0.007456411141902208,0.8334965705871582
20000,0.0063759819604456425,0.007337603718042374,0.8210240602493286
22000,0.006340617313981056,0.007298258598893881,0.8193691372871399
24000,0.006429636385291815,0.007406632415950298,0.8233178853988647
26000,0.006360300816595554,0.007327846717089415,0.8163081407546997
28000,0.006608128547668457,0.007643246557563543,0.8507260084152222
30000,0.006322856992483139,0.007288665510714054,0.8105354905128479
32000,0.006287122145295143,0.007250884082168341,0.8080632090568542
34000,0.006260306108742952,0.007224551867693663,0.8066958785057068
36000,0.006402201950550079,0.007402709685266018,0.8194809556007385
38000,0.006321628112345934,0.007306824438273907,0.8112635016441345
40000,0.0062822275795042515,0.007263751234859228,0.8068628907203674
42000,0.006251859478652477,0.007233095355331898,0.8063685297966003
44000,0.006360767409205437,0.0073619685135781765,0.8153862357139587
46000,0.006277874577790499,0.007261128630489111,0.8086538314819336
48000,0.006241143681108952,0.007219195365905762,0.8058997392654419
50000,0.0062162140384316444,0.007193082477897406,0.8031516075134277
52000,0.00630928436294198,0.00731481472030282,0.8139941096305847
54000,0.006264434661716223,0.007263900246471167,0.809451699256897
56000,0.006237457040697336,0.007235664874315262,0.8060448169708252
58000,0.006585979368537664,0.007668955717235804,0.8511228561401367
60000,0.006284773349761963,0.007291923742741346,0.810762882232666
62000,0.0062487488612532616,0.007249354384839535,0.806995689868927
64000,0.006225645542144775,0.007225613109767437,0.8056595325469971
66000,0.0063575273379683495,0.0073923091404139996,0.8192171454429626
68000,0.0062908027321100235,0.007312045898288488,0.8111472129821777
70000,0.006478859577327967,0.007529748138040304,0.8324574828147888
72000,0.006329103372991085,0.007362554781138897,0.8095903992652893
74000,0.00628665741533041,0.007315363734960556,0.8058695793151855
76000,0.0062586660496890545,0.007285877596586943,0.8038561344146729
78000,0.006236637476831675,0.0072625442408025265,0.8025389313697815
80000,0.006268817465752363,0.0072838966734707355,0.8034532070159912
82000,0.006235268898308277,0.007246755994856358,0.8011469841003418
84000,0.006214101333171129,0.0072254580445587635,0.8003472089767456
86000,0.006372327916324139,0.007404332514852285,0.8227646946907043
88000,0.006258256733417511,0.007283694110810757,0.805599570274353
90000,0.006227399688214064,0.007248107809573412,0.8040510416030884
92000,0.006293148268014193,0.007333154324442148,0.8116379380226135
94000,0.0062283785082399845,0.00725507689639926,0.8034107685089111
96000,0.006209643557667732,0.007234552875161171,0.8030747771263123
98000,0.006365055684000254,0.0074147614650428295,0.8218457698822021
100000,0.006223635748028755,0.007255312521010637,0.8035932183265686
