dof,seed,pos_mae_m,ori_deg
5,seed42,0.006214,0.8003
5,seed1,0.006201956886798143,0.8092231154441833
5,seed2,0.0062440428882837296,0.8120013475418091
6,seed42,0.008876,1.3294
6,seed1,0.00892677903175354,1.331598162651062
6,seed2,0.008890706114470959,1.3276662826538086
7,seed42,0.009946,1.7116
7,seed1,0.013317413628101349,2.56785249710083
7,seed2,0.013300919905304909,2.549309730529785
